Data,Valoare EUR (lei),Variatie (lei),Variatie (%)
4 Mart. 2026,5.0959,-0.0022,-0.04%
3 Mart. 2026,5.0981,0.0009,0.02%
2 Mart. 2026,5.0972,0.0019,0.04%
27 Feb. 2026,5.0953,-0.0002,0.00%
26 Feb. 2026,5.0955,0.0002,0.00%
25 Feb. 2026,5.0953,-0.0001,0.00%
24 Feb. 2026,5.0954,-0.0014,-0.03%
23 Feb. 2026,5.0968,-0.0006,-0.01%
20 Feb. 2026,5.0974,0.0018,0.04%
19 Feb. 2026,5.0956,0.0015,0.03%
18 Feb. 2026,5.0941,-0.0024,-0.05%
17 Feb. 2026,5.0965,0.0012,0.02%
16 Feb. 2026,5.0953,0.001,0.02%
13 Feb. 2026,5.0943,0.0009,0.02%
12 Feb. 2026,5.0934,0.002,0.04%
11 Feb. 2026,5.0914,0.0004,0.01%
10 Feb. 2026,5.091,-0.0024,-0.05%
9 Feb. 2026,5.0934,0.0011,0.02%
6 Feb. 2026,5.0923,-0.0022,-0.04%
5 Feb. 2026,5.0945,0.0002,0.00%
4 Feb. 2026,5.0943,-0.0007,-0.01%
3 Feb. 2026,5.095,-0.0009,-0.02%
2 Feb. 2026,5.0959,-0.0002,0.00%
30 Ian. 2026,5.0961,0.0004,0.01%
29 Ian. 2026,5.0957,-0.0003,-0.01%
28 Ian. 2026,5.096,0.0001,0.00%
27 Ian. 2026,5.0959,-0.0001,0.00%
26 Ian. 2026,5.096,0.0017,0.03%
23 Ian. 2026,5.0943,0.0007,0.01%
22 Ian. 2026,5.0936,-0.0025,-0.05%
21 Ian. 2026,5.0961,0.0032,0.06%
20 Ian. 2026,5.0929,0.0008,0.02%
19 Ian. 2026,5.0921,0.0027,0.05%
16 Ian. 2026,5.0894,0.0003,0.01%
15 Ian. 2026,5.0891,-0.0006,-0.01%
14 Ian. 2026,5.0897,0.0001,0.00%
13 Ian. 2026,5.0896,0,0%
12 Ian. 2026,5.0896,0.0009,0.02%
9 Ian. 2026,5.0887,0.0016,0.03%
8 Ian. 2026,5.0871,-0.0034,-0.07%
