"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 00:00 - 01/01/2021 01:00","BZN|RO","5496.00","5750.00"
"01/01/2021 01:00 - 01/01/2021 02:00","BZN|RO","5318.00","5550.00"
"01/01/2021 02:00 - 01/01/2021 03:00","BZN|RO","5217.00","5480.00"
"01/01/2021 03:00 - 01/01/2021 04:00","BZN|RO","5184.00","5430.00"
"01/01/2021 04:00 - 01/01/2021 05:00","BZN|RO","5208.00","5400.00"
"01/01/2021 05:00 - 01/01/2021 06:00","BZN|RO","5223.00","5380.00"
"01/01/2021 06:00 - 01/01/2021 07:00","BZN|RO","5203.00","5350.00"
"01/01/2021 07:00 - 01/01/2021 08:00","BZN|RO","5256.00","5350.00"
"01/01/2021 08:00 - 01/01/2021 09:00","BZN|RO","5309.00","5330.00"
"01/01/2021 09:00 - 01/01/2021 10:00","BZN|RO","5343.00","5320.00"
"01/01/2021 10:00 - 01/01/2021 11:00","BZN|RO","5379.00","5350.00"
"01/01/2021 11:00 - 01/01/2021 12:00","BZN|RO","5396.00","5380.00"
"01/01/2021 12:00 - 01/01/2021 13:00","BZN|RO","5386.00","5460.00"
"01/01/2021 13:00 - 01/01/2021 14:00","BZN|RO","5473.00","5540.00"
"01/01/2021 14:00 - 01/01/2021 15:00","BZN|RO","5700.00","5830.00"
"01/01/2021 15:00 - 01/01/2021 16:00","BZN|RO","6286.00","6520.00"
"01/01/2021 16:00 - 01/01/2021 17:00","BZN|RO","6433.00","6750.00"
"01/01/2021 17:00 - 01/01/2021 18:00","BZN|RO","6445.00","6700.00"
"01/01/2021 18:00 - 01/01/2021 19:00","BZN|RO","6379.00","6620.00"
"01/01/2021 19:00 - 01/01/2021 20:00","BZN|RO","6187.00","6460.00"
"01/01/2021 20:00 - 01/01/2021 21:00","BZN|RO","5951.00","6180.00"
"01/01/2021 21:00 - 01/01/2021 22:00","BZN|RO","5656.00","5870.00"
"01/01/2021 22:00 - 01/01/2021 23:00","BZN|RO","5373.00","5330.00"
"01/01/2021 23:00 - 02/01/2021 00:00","BZN|RO","5220.00","5160.00"
"02/01/2021 00:00 - 02/01/2021 01:00","BZN|RO","5096.00","5090.00"
"02/01/2021 01:00 - 02/01/2021 02:00","BZN|RO","5054.00","5050.00"
"02/01/2021 02:00 - 02/01/2021 03:00","BZN|RO","5076.00","5060.00"
"02/01/2021 03:00 - 02/01/2021 04:00","BZN|RO","5175.00","5150.00"
"02/01/2021 04:00 - 02/01/2021 05:00","BZN|RO","5350.00","5300.00"
"02/01/2021 05:00 - 02/01/2021 06:00","BZN|RO","5542.00","5510.00"
"02/01/2021 06:00 - 02/01/2021 07:00","BZN|RO","5784.00","5710.00"
"02/01/2021 07:00 - 02/01/2021 08:00","BZN|RO","6069.00","5940.00"
"02/01/2021 08:00 - 02/01/2021 09:00","BZN|RO","6190.00","6130.00"
"02/01/2021 09:00 - 02/01/2021 10:00","BZN|RO","6184.00","6160.00"
"02/01/2021 10:00 - 02/01/2021 11:00","BZN|RO","6119.00","6130.00"
"02/01/2021 11:00 - 02/01/2021 12:00","BZN|RO","6058.00","6100.00"
"02/01/2021 12:00 - 02/01/2021 13:00","BZN|RO","6012.00","6090.00"
"02/01/2021 13:00 - 02/01/2021 14:00","BZN|RO","6066.00","6150.00"
"02/01/2021 14:00 - 02/01/2021 15:00","BZN|RO","6299.00","6450.00"
"02/01/2021 15:00 - 02/01/2021 16:00","BZN|RO","6934.00","7070.00"
"02/01/2021 16:00 - 02/01/2021 17:00","BZN|RO","7071.00","7200.00"
"02/01/2021 17:00 - 02/01/2021 18:00","BZN|RO","7004.00","7150.00"
"02/01/2021 18:00 - 02/01/2021 19:00","BZN|RO","6851.00","7000.00"
"02/01/2021 19:00 - 02/01/2021 20:00","BZN|RO","6571.00","6720.00"
"02/01/2021 20:00 - 02/01/2021 21:00","BZN|RO","6236.00","6350.00"
"02/01/2021 21:00 - 02/01/2021 22:00","BZN|RO","5926.00","6000.00"
"02/01/2021 22:00 - 02/01/2021 23:00","BZN|RO","5630.00","5600.00"
"02/01/2021 23:00 - 03/01/2021 00:00","BZN|RO","5410.00","5390.00"
"03/01/2021 00:00 - 03/01/2021 01:00","BZN|RO","5260.00","5210.00"
"03/01/2021 01:00 - 03/01/2021 02:00","BZN|RO","5195.00","5150.00"
"03/01/2021 02:00 - 03/01/2021 03:00","BZN|RO","5190.00","5180.00"
"03/01/2021 03:00 - 03/01/2021 04:00","BZN|RO","5245.00","5310.00"
"03/01/2021 04:00 - 03/01/2021 05:00","BZN|RO","5398.00","5520.00"
"03/01/2021 05:00 - 03/01/2021 06:00","BZN|RO","5617.00","5710.00"
"03/01/2021 06:00 - 03/01/2021 07:00","BZN|RO","5836.00","5930.00"
"03/01/2021 07:00 - 03/01/2021 08:00","BZN|RO","6086.00","6170.00"
"03/01/2021 08:00 - 03/01/2021 09:00","BZN|RO","6235.28","6290.00"
"03/01/2021 09:00 - 03/01/2021 10:00","BZN|RO","6308.00","6300.00"
"03/01/2021 10:00 - 03/01/2021 11:00","BZN|RO","6361.00","6280.00"
"03/01/2021 11:00 - 03/01/2021 12:00","BZN|RO","6326.00","6260.00"
"03/01/2021 12:00 - 03/01/2021 13:00","BZN|RO","6159.00","6250.00"
"03/01/2021 13:00 - 03/01/2021 14:00","BZN|RO","6197.00","6280.00"
"03/01/2021 14:00 - 03/01/2021 15:00","BZN|RO","6382.00","6530.00"
"03/01/2021 15:00 - 03/01/2021 16:00","BZN|RO","6931.00","7030.00"
"03/01/2021 16:00 - 03/01/2021 17:00","BZN|RO","7065.00","7250.00"
"03/01/2021 17:00 - 03/01/2021 18:00","BZN|RO","7024.00","7270.00"
"03/01/2021 18:00 - 03/01/2021 19:00","BZN|RO","6892.00","7170.00"
"03/01/2021 19:00 - 03/01/2021 20:00","BZN|RO","6578.00","6900.00"
"03/01/2021 20:00 - 03/01/2021 21:00","BZN|RO","6210.00","6480.00"
"03/01/2021 21:00 - 03/01/2021 22:00","BZN|RO","5888.00","6150.00"
"03/01/2021 22:00 - 03/01/2021 23:00","BZN|RO","5632.00","5800.00"
"03/01/2021 23:00 - 04/01/2021 00:00","BZN|RO","5424.00","5600.00"
"04/01/2021 00:00 - 04/01/2021 01:00","BZN|RO","5314.00","5500.00"
"04/01/2021 01:00 - 04/01/2021 02:00","BZN|RO","5291.00","5480.00"
"04/01/2021 02:00 - 04/01/2021 03:00","BZN|RO","5358.00","5530.00"
"04/01/2021 03:00 - 04/01/2021 04:00","BZN|RO","5554.00","5700.00"
"04/01/2021 04:00 - 04/01/2021 05:00","BZN|RO","6104.00","6190.00"
"04/01/2021 05:00 - 04/01/2021 06:00","BZN|RO","6856.00","7100.00"
"04/01/2021 06:00 - 04/01/2021 07:00","BZN|RO","7538.00","7850.00"
"04/01/2021 07:00 - 04/01/2021 08:00","BZN|RO","7976.00","8170.00"
"04/01/2021 08:00 - 04/01/2021 09:00","BZN|RO","8179.00","8300.00"
"04/01/2021 09:00 - 04/01/2021 10:00","BZN|RO","8225.00","8250.00"
"04/01/2021 10:00 - 04/01/2021 11:00","BZN|RO","8210.00","8170.00"
"04/01/2021 11:00 - 04/01/2021 12:00","BZN|RO","8188.00","8040.00"
"04/01/2021 12:00 - 04/01/2021 13:00","BZN|RO","8093.00","7890.00"
"04/01/2021 13:00 - 04/01/2021 14:00","BZN|RO","7950.00","7840.00"
"04/01/2021 14:00 - 04/01/2021 15:00","BZN|RO","8101.00","7930.00"
"04/01/2021 15:00 - 04/01/2021 16:00","BZN|RO","8446.00","8460.00"
"04/01/2021 16:00 - 04/01/2021 17:00","BZN|RO","8392.00","8600.00"
"04/01/2021 17:00 - 04/01/2021 18:00","BZN|RO","8292.00","8520.00"
"04/01/2021 18:00 - 04/01/2021 19:00","BZN|RO","8119.00","8330.00"
"04/01/2021 19:00 - 04/01/2021 20:00","BZN|RO","7664.00","8030.00"
"04/01/2021 20:00 - 04/01/2021 21:00","BZN|RO","7180.00","7480.00"
"04/01/2021 21:00 - 04/01/2021 22:00","BZN|RO","6736.00","6930.00"
"04/01/2021 22:00 - 04/01/2021 23:00","BZN|RO","6407.00","6200.00"
"04/01/2021 23:00 - 05/01/2021 00:00","BZN|RO","6220.00","5970.00"
"05/01/2021 00:00 - 05/01/2021 01:00","BZN|RO","6103.00","5830.00"
"05/01/2021 01:00 - 05/01/2021 02:00","BZN|RO","6022.00","5780.00"
"05/01/2021 02:00 - 05/01/2021 03:00","BZN|RO","6071.00","5830.00"
"05/01/2021 03:00 - 05/01/2021 04:00","BZN|RO","6146.00","6050.00"
"05/01/2021 04:00 - 05/01/2021 05:00","BZN|RO","6624.00","6570.00"
"05/01/2021 05:00 - 05/01/2021 06:00","BZN|RO","7283.00","7300.00"
"05/01/2021 06:00 - 05/01/2021 07:00","BZN|RO","7809.00","8000.00"
"05/01/2021 07:00 - 05/01/2021 08:00","BZN|RO","8150.00","8400.00"
"05/01/2021 08:00 - 05/01/2021 09:00","BZN|RO","8355.00","8550.00"
"05/01/2021 09:00 - 05/01/2021 10:00","BZN|RO","8372.00","8520.00"
"05/01/2021 10:00 - 05/01/2021 11:00","BZN|RO","8344.00","8450.00"
"05/01/2021 11:00 - 05/01/2021 12:00","BZN|RO","8350.00","8450.00"
"05/01/2021 12:00 - 05/01/2021 13:00","BZN|RO","8170.00","8280.00"
"05/01/2021 13:00 - 05/01/2021 14:00","BZN|RO","8075.00","8200.00"
"05/01/2021 14:00 - 05/01/2021 15:00","BZN|RO","8153.00","8280.00"
"05/01/2021 15:00 - 05/01/2021 16:00","BZN|RO","8559.00","8600.00"
"05/01/2021 16:00 - 05/01/2021 17:00","BZN|RO","8530.00","8650.00"
"05/01/2021 17:00 - 05/01/2021 18:00","BZN|RO","8447.00","8570.00"
"05/01/2021 18:00 - 05/01/2021 19:00","BZN|RO","8252.00","8350.00"
"05/01/2021 19:00 - 05/01/2021 20:00","BZN|RO","7816.00","7900.00"
"05/01/2021 20:00 - 05/01/2021 21:00","BZN|RO","7268.00","7300.00"
"05/01/2021 21:00 - 05/01/2021 22:00","BZN|RO","6788.00","6800.00"
"05/01/2021 22:00 - 05/01/2021 23:00","BZN|RO","6428.00","6450.00"
"05/01/2021 23:00 - 06/01/2021 00:00","BZN|RO","6192.00","6280.00"
"06/01/2021 00:00 - 06/01/2021 01:00","BZN|RO","6071.00","6170.00"
"06/01/2021 01:00 - 06/01/2021 02:00","BZN|RO","6020.00","6100.00"
"06/01/2021 02:00 - 06/01/2021 03:00","BZN|RO","6050.00","6130.00"
"06/01/2021 03:00 - 06/01/2021 04:00","BZN|RO","6208.00","6170.00"
"06/01/2021 04:00 - 06/01/2021 05:00","BZN|RO","6639.00","6570.00"
"06/01/2021 05:00 - 06/01/2021 06:00","BZN|RO","7277.00","7200.00"
"06/01/2021 06:00 - 06/01/2021 07:00","BZN|RO","7714.00","7680.00"
"06/01/2021 07:00 - 06/01/2021 08:00","BZN|RO","7910.00","7980.00"
"06/01/2021 08:00 - 06/01/2021 09:00","BZN|RO","7798.00","8100.00"
"06/01/2021 09:00 - 06/01/2021 10:00","BZN|RO","7783.00","8100.00"
"06/01/2021 10:00 - 06/01/2021 11:00","BZN|RO","7783.00","8080.00"
"06/01/2021 11:00 - 06/01/2021 12:00","BZN|RO","7769.00","8080.00"
"06/01/2021 12:00 - 06/01/2021 13:00","BZN|RO","7579.00","7980.00"
"06/01/2021 13:00 - 06/01/2021 14:00","BZN|RO","7551.00","7900.00"
"06/01/2021 14:00 - 06/01/2021 15:00","BZN|RO","7713.00","8000.00"
"06/01/2021 15:00 - 06/01/2021 16:00","BZN|RO","8218.00","8500.00"
"06/01/2021 16:00 - 06/01/2021 17:00","BZN|RO","8263.00","8500.00"
"06/01/2021 17:00 - 06/01/2021 18:00","BZN|RO","8234.00","8400.00"
"06/01/2021 18:00 - 06/01/2021 19:00","BZN|RO","8053.00","8230.00"
"06/01/2021 19:00 - 06/01/2021 20:00","BZN|RO","7592.00","7900.00"
"06/01/2021 20:00 - 06/01/2021 21:00","BZN|RO","7152.00","7400.00"
"06/01/2021 21:00 - 06/01/2021 22:00","BZN|RO","6782.00","6900.00"
"06/01/2021 22:00 - 06/01/2021 23:00","BZN|RO","6459.00","6400.00"
"06/01/2021 23:00 - 07/01/2021 00:00","BZN|RO","6284.00","6200.00"
"07/01/2021 00:00 - 07/01/2021 01:00","BZN|RO","6174.00","6080.00"
"07/01/2021 01:00 - 07/01/2021 02:00","BZN|RO","6050.00","6000.00"
"07/01/2021 02:00 - 07/01/2021 03:00","BZN|RO","6072.00","6050.00"
"07/01/2021 03:00 - 07/01/2021 04:00","BZN|RO","6302.00","6150.00"
"07/01/2021 04:00 - 07/01/2021 05:00","BZN|RO","6731.00","6550.00"
"07/01/2021 05:00 - 07/01/2021 06:00","BZN|RO","7344.00","7200.00"
"07/01/2021 06:00 - 07/01/2021 07:00","BZN|RO","7747.00","7700.00"
"07/01/2021 07:00 - 07/01/2021 08:00","BZN|RO","8016.00","7950.00"
"07/01/2021 08:00 - 07/01/2021 09:00","BZN|RO","8013.00","8000.00"
"07/01/2021 09:00 - 07/01/2021 10:00","BZN|RO","8002.00","7900.00"
"07/01/2021 10:00 - 07/01/2021 11:00","BZN|RO","7995.00","7850.00"
"07/01/2021 11:00 - 07/01/2021 12:00","BZN|RO","7955.00","7850.00"
"07/01/2021 12:00 - 07/01/2021 13:00","BZN|RO","7752.00","7800.00"
"07/01/2021 13:00 - 07/01/2021 14:00","BZN|RO","7706.00","7760.00"
"07/01/2021 14:00 - 07/01/2021 15:00","BZN|RO","7832.00","7900.00"
"07/01/2021 15:00 - 07/01/2021 16:00","BZN|RO","8301.00","8400.00"
"07/01/2021 16:00 - 07/01/2021 17:00","BZN|RO","8338.00","8450.00"
"07/01/2021 17:00 - 07/01/2021 18:00","BZN|RO","8262.00","8350.00"
"07/01/2021 18:00 - 07/01/2021 19:00","BZN|RO","8111.00","8170.00"
