"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|RO","Without Sequence","202.08","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|RO","Without Sequence","198.00","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|RO","Without Sequence","175.59","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|RO","Without Sequence","120.72","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|RO","Without Sequence","93.87","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|RO","Without Sequence","83.02","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|RO","Without Sequence","77.52","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|RO","Without Sequence","77.97","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|RO","Without Sequence","76.00","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|RO","Without Sequence","92.42","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|RO","Without Sequence","104.05","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|RO","Without Sequence","115.87","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|RO","Without Sequence","117.69","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|RO","Without Sequence","111.33","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|RO","Without Sequence","107.74","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|RO","Without Sequence","107.14","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|RO","Without Sequence","198.00","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|RO","Without Sequence","218.00","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|RO","Without Sequence","224.27","",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|RO","Without Sequence","233.32","",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|RO","Without Sequence","229.00","",""
