an,venituri_mil_ron,ebitda_mil_ron,profit_net_mil_ron,productie_hidro_totala_mwh,pret_energie_ron_mwh,eur_ron_mediu
2015,3329,2092,899,16893564.66,161.8138242848195,4.444969185723696
2016,3396,2243,1228,18186454.88,148.81528540903136,4.4907680073248
2017,3288,2259,1315,14538706.54,219.45629242271954,4.568114266142684
2018,4351,3123,1939,17651927.96,215.7767223297401,4.653477678005951
2019,4177,2934,1387,15706622.280000001,238.76598764871983,4.74523517703597
2020,3850,2711,1452,15412754.54,190.97136515614753,4.837098240949872
2021,6699,4669,3086,16962066.62,214.6292057066746,4.9204325861879665
2022,9452,5985,4464,14053591.9825,1303.4607561757405,4.931539526554364
2023,12160,8016,6365,18342050.1525,514.0682282330228,4.946458522439718
2024,9123,5503,4128,14250919.315,514.3677378811648,4.974601250693433
