an,luna,eur_ron_mediu
2015,1,4.487655
2015,2,4.431985
2015,3,4.432995454545455
2015,4,4.416609523809524
2015,5,4.44687
2015,6,4.468228571428571
2015,7,4.438547826086957
2015,8,4.422995238095238
2015,9,4.4232272727272735
2015,10,4.422031818181818
2015,11,4.444475
2015,12,4.504009523809524
2016,1,4.530345
2016,2,4.4817857142857145
2016,3,4.465691304347826
2016,4,4.472742857142857
2016,5,4.499366666666667
2016,6,4.521766666666666
2016,7,4.48582380952381
2016,8,4.459363636363637
2016,9,4.450590909090909
2016,10,4.49422380952381
2016,11,4.510185714285714
2016,12,4.517329999999999
2017,1,4.50164
2017,2,4.51202
2017,3,4.548234782608696
2017,4,4.529884210526316
2017,5,4.5539499999999995
2017,6,4.571415
2017,7,4.568119047619048
2017,8,4.578418181818182
2017,9,4.597795238095238
2017,10,4.588527272727273
2017,11,4.631428571428572
2017,12,4.635938888888889
2018,1,4.6499749999999995
2018,2,4.6554850000000005
2018,3,4.66045
2018,4,4.656505263157895
2018,5,4.638666666666667
2018,6,4.66109
2018,7,4.650177272727273
2018,8,4.6436636363636365
2018,9,4.64657
2018,10,4.665108695652174
2018,11,4.661014285714286
2018,12,4.653026315789473
2019,1,4.703675
2019,2,4.74777
2019,3,4.753847619047619
2019,4,4.758274999999999
2019,5,4.759463636363637
2019,6,4.7252368421052635
2019,7,4.729034782608696
2019,8,4.728590476190476
2019,9,4.737552380952382
2019,10,4.753830434782609
2019,11,4.768280952380953
2019,12,4.777265
2020,1,4.778454999999999
2020,2,4.782815
2020,3,4.826259090909091
2020,4,4.834155
2020,5,4.836535
2020,6,4.83926
2020,7,4.837973913043478
2020,8,4.837233333333334
2020,9,4.858604545454546
2020,10,4.873331818181819
2020,11,4.86988
2020,12,4.870676190476191
2021,1,4.87277
2021,2,4.87408
2021,3,4.887773913043478
2021,4,4.922061904761905
2021,5,4.924735
2021,6,4.92362
2021,7,4.924977272727272
2021,8,4.922927272727272
2021,9,4.946454545454546
2021,10,4.948109523809524
2021,11,4.948795238095238
2021,12,4.948886363636364
2022,1,4.94482
2022,2,4.945565
2022,3,4.9480826086956515
2022,4,4.9437
2022,5,4.946227272727273
2022,6,4.944775
2022,7,4.939814285714285
2022,8,4.895336363636364
2022,9,4.907995454545454
2022,10,4.926585714285714
2022,11,4.913147619047619
2022,12,4.922425
2023,1,4.922725
2023,2,4.9076900000000006
2023,3,4.926260869565217
2023,4,4.9364
2023,5,4.948122727272727
2023,6,4.959765
2023,7,4.941199999999999
2023,8,4.940877272727272
2023,9,4.965676190476191
2023,10,4.968177272727273
2023,11,4.970185714285714
2023,12,4.970422222222222
2024,1,4.97481
2024,2,4.974842857142857
2024,3,4.970866666666667
2024,4,4.972995454545455
2024,5,4.975759999999999
2024,6,4.976573684210527
2024,7,4.972908695652174
2024,8,4.976533333333333
2024,9,4.974333333333333
2024,10,4.974752173913044
2024,11,4.976023809523809
2024,12,4.974815
2025,1,4.975183333333333
2025,2,4.976979999999999
2025,3,4.976795238095238
2025,4,4.977345000000001
2025,5,5.069009523809524
2025,6,5.04679
2025,7,5.072043478260869
2025,8,5.0654200000000005
2025,9,5.073690909090909
2025,10,5.087260869565218
2025,11,5.08678
2025,12,5.091225
