an,luna,pret_energie_ron_mwh
2015,1,177.51458333333335
2015,2,164.49733630952383
2015,3,143.46806191117093
2015,4,116.33911111111112
2015,5,122.43368279569893
2015,6,146.96093055555554
2015,7,186.13013440860215
2015,8,179.99612903225807
2015,9,182.4121120689655
2015,10,173.3000268456376
2015,11,163.911125
2015,12,184.802658045977
2016,1,184.39052419354837
2016,2,118.42785919540229
2016,3,116.5100269179004
2016,4,129.41413888888889
2016,5,120.82864247311828
2016,6,135.09594444444446
2016,7,137.64521505376342
2016,8,137.07099462365593
2016,9,159.2126111111111
2016,10,184.77646979865773
2016,11,167.96469444444443
2016,12,194.44630376344085
2017,1,338.6017741935484
2017,2,243.14166666666668
2017,3,165.53605652759083
2017,4,172.37825
2017,5,182.81415322580648
2017,6,193.9909861111111
2017,7,230.94337365591397
2017,8,260.4188172043011
2017,9,197.6583611111111
2017,10,216.59997315436243
2017,11,256.63419444444446
2017,12,174.7579027777778
2018,1,155.7033870967742
2018,2,176.87449404761907
2018,3,156.0263795423957
2018,4,121.27969444444444
2018,5,189.5224865591398
2018,6,221.74951388888888
2018,7,181.48700268817203
2018,8,241.98154166666666
2018,9,276.191875
2018,10,287.5466577181208
2018,11,282.4833611111111
2018,12,298.47427419354835
2019,1,352.19067204301075
2019,2,230.78647321428573
2019,3,182.81865410497983
2019,4,214.50183333333334
2019,5,193.88263440860214
2019,6,183.73788888888888
2019,7,261.49352150537635
2019,8,284.58272849462367
2019,9,287.230375
2019,10,272.5416644295302
2019,11,203.52676388888887
2019,12,197.8986424731183
2020,1,252.29548387096773
2020,2,193.6887356321839
2020,3,143.1285598923284
2020,4,123.29641666666666
2020,5,120.23798387096774
2020,6,146.70506944444443
2020,7,179.41038978494623
2020,8,183.19461021505379
2020,9,222.69209722222223
2020,10,205.84342281879196
2020,11,236.84115277777778
2020,12,284.3224596774194
2021,1,271.29057795698924
2021,2,234.40252976190476
2021,3,266.0613593539704
2021,4,309.0792916666667
2021,5,289.3075
2021,6,230.0297222222222
2021,7,93.84298387096773
2021,8,112.69575268817204
2021,9,133.88541666666666
2021,10,192.19695302013423
2021,11,212.5477361111111
2021,12,230.21064516129033
2022,1,949.3985943486559
2022,2,932.2698386865328
2022,3,1357.7946245765113
2022,4,861.6970720499999
2022,5,1000.3643607135875
2022,6,1138.2590472534723
2022,7,1813.843037687212
2022,8,2400.8384993172044
2022,9,1859.381671632702
2022,10,1015.0420449397891
2022,11,1092.9049174045633
2022,12,1219.735365498656
2023,1,670.4253222590726
2023,2,699.3950479622025
2023,3,534.790504048218
2023,4,480.9816306166667
2023,5,431.13551981744865
2023,6,422.217974773125
2023,7,478.51583651075265
2023,8,502.22151366367297
2023,9,512.3874357777778
2023,10,526.6897433835265
2023,11,507.70440168392855
2023,12,402.3538082998805
2024,1,436.1416595657258
2024,2,347.0210212315271
2024,3,315.566204316734
2024,4,298.3325528852904
2024,5,406.5243403731182
2024,6,486.5995599328947
2024,7,721.7698396117346
2024,8,631.5764606666667
2024,9,544.6132268888889
2024,10,446.2673220945434
2024,11,836.1415303667328
2024,12,701.859136640121
2025,1,693.7650417533602
2025,2,782.3116375297618
2025,3,529.7828003225661
2025,4,430.21757550270837
2025,5,435.40979502355356
2025,6,434.70168184041665
2025,7,524.9659078225807
2025,8,396.5931100510753
2025,9,492.4239705929293
2025,10,619.8069401838343
2025,11,617.9385549011806
2025,12,598.9333171154234
