an,luna,biomass,energy_storage,fossil_brown_coal_lignite,fossil_gas,fossil_hard_coal,hydro_run_of_river_and_pondage,hydro_water_reservoir,nuclear,solar,wind_onshore,productie_hidro_totala_mwh,cerere_nationala_mwh
2015,1,86950,0,374758,1518863,2790814,1877196,1268554,1792023,71481,1178642,3145751,4664444
2015,2,93428,0,396850,1372609,2519288,2031659,1257892,1891831,124460,1430540,3289551,4938738
2015,3,100613,0,388990,1389883,2407368,2459173,1405487,2014220,192519,1391909,3864660,5119511
2015,4,80661,0,298996,752771,2405003,2449505,1145232,1959197,258875,1500324,3594737,4551651
2015,5,97607,0,851886,658365,1523089,2321526,1484614,1299180,276393,804638,3806140,4360166
2015,6,88946,0,2064352,971498,226322,1820864,982322,1855904,290248,867678,2803186,4338182
2015,7,86210,0,3113704,1896502,372829,1377701,856043,2017897,325551,581249,2233745,4801702
2015,8,92344,0,3117110,1868836,277330,1066812,907278,2013284,306250,938800,1974090,4638590
2015,9,83142,0,2978198,1664314,269864,970256,892300,1965776,224128,1099890,1862556,4492222
2015,10,86976,0,2745392,1999430,425239,1595445,911465,2077965,169761,1103409,2506910,4882435
2015,11,84738,0,3216722,2158158,288024,1292760,970676,2013303,130256,1269056,2263436,4969009
2015,12,80826,0,3060550,2514568,262514,1406586,1037986,2082044,100926,1007152,2444572,5197702
2016,1,36744,0,1753432,1281707,157383,700096,453241,1035973,39581,722330,1153337,5523346
2016,2,33400,0,1057164,794046,172520,969065,328015,966742,64487,700534,1297080,4882981
2016,3,41018,0,933364,717487,178310,1074878,439999,1042030,97976,565068,1514878,5068875
2016,4,36229,0,793293,515261,137989,1126397,445841,1008456,134341,448732,1572238,4454470
2016,5,33345,0,874381,494164,64630,1288325,487107,615783,144612,395799,1775432,4432114
2016,6,30984,0,1199175,524043,133256,1331421,753430,568214,152193,372114,2084851,4475089
2016,7,34681,0,1271791,801056,125547,1080517,708678,1020647,165308,318399,1789196,4753531
2016,8,38400,0,1187825,761468,123786,850796,568417,1021288,151002,516424,1419213,4572815
2016,9,36464,0,1234239,800365,123248,596224,543309,992637,130699,315415,1139533,4492155
2016,10,40496,0,1331264,888195,168874,707087,670085,1040041,70430,577356,1377172,5029865
2016,11,43084,0,1313317,1070545,153839,1051779,585134,942532,54114,587788,1636914,5227867
2016,12,40967,0,1483179,1284988,150572,713457,713496,1040047,50787,880456,1426953,5588431
2017,1,36394,0,1593445,1513104,219821,525639,663311,1020925,48353,788553,1188950,5855365
2017,2,33203,0,1304659,1188767,134810,809002,301639,938596,69591,634922,1110641,5124176
2017,3,41140,0,1176750,985993,85814,1165092,296298,1046621,116173,823319,1461390,5111979
2017,4,27835,0,966162,724212,133302,888871,475603,1017091,133954,698961,1364475,4673022
2017,5,25639,0,1349579,463471,123733,1205193,370238,538297,156168,409273,1575431,4615090
2017,6,25485,0,1272960,444639,120839,891106,500840,955775,169375,395775,1391946,4552564
2017,7,35708,0,1411375,713010,123841,662695,359775,971954,170526,455169,1022470,4831493
2017,8,35706,0,1371005,756850,96640,623849,294325,970563,166858,473649,918174,4836061
2017,9,36739,0,1268996,650086,48413,639332,280566,994853,132942,655683,919898,4622023
2017,10,41821,0,1359865,778292,104105,640092,351597,1038728,108855,691731,991689,5029600
2017,11,39116,0,1346762,1198386,102597,769855,415350,1008734,45081,455505,1185205,5250452
2017,12,37294,0,1333051,1252255,119180,1055160,353045,992151,41328,811498,1408205,5467142
2018,1,36754,0,1551458,1234479,150773,1008126,242018,1034032,51079,668962,1250144,5617598
2018,2,34304,0,1481663,1139217,109711,982366,279574,933481,45911,767577,1261940,5260907
2018,3,31701,0,1446486,908285,96358,1334148,555473,980465,87463,587886,1889621,5684490
